No,namawisata,jeniswisata,HTM,Fasilitas,Keamanan,Akses Jalan,Transportasi,Kerbersihan
1,Makam Mbah Sayyid Arif segoropuro,Religi ,Gratis,"Area parkir, tempat istirahat, toilet, warung, musholla dan area khusus untuk berdoa.",Aman,Mudah di akses ,Bebas,Bersih
2,Makam Mbah Soleh semendi,Religi ,Gratis,"Area parkir, tempat istirahat, toilet, warung, musholla dan area khusus untuk berdoa.",Aman,Mudah di akses ,Bebas,Bersih
3,Masjid Muhammad Cheng Hoo,Religi ,Gratis,"Area parkir, toilet, tempat wudhu, warung, dan area sholat.",Aman,Mudah di akses ,Bebas,Bersih
4,Air Terjun Kakek Bodo,Alam,20000,"Area parkir, toilet, musholla, warung",Aman,Mudah di akses ,Bebas,Cukup Bersih
5,Air Terjun Putuk Truno,Alam,20000,"Area parkir, toilet, musholla, warung",Aman,Mudah di akses ,Bebas,Bersih
6,Danau Ranu Grati,Alam,2500,"Area parkir, toilet umum, musholla, area perkemahan, arena outbond, warung, perahu wisata",Aman,Mudah di akses ,Bebas,Kurang Bersih
7,Pemandian Alam Banyu Biru,Alam,10000,"Area Parkir, toilet umum, kolam pemandian, playground, tempat pameran, lapangan tennis",Aman,Mudah di akses ,Bebas,Cukup Bersih
8,Air Terjun Coban Baung,Alam,7500,"Area parkir, toilet, musholla, warung",aman,Mudah di akses ,Bebas,Bersih
9,Jendela Langit,Alam,7500,"Area parkir, ojek, sewa mobil gunung, cafe, toilet, mushola, penginapan, wifi",Aman,Sulit di akses,"Kendaraan Pribadi,motor trail disarankan",Bersih
10,Taman Edelweiss Desa Wonokriti,Alam,10000,"area parkir, cafe, mushola, toilet, jembatan kaca, musholla, wifi",aman,mudah di akses,Kendaraan Pribadi,Bersih
11,The Taman Dayu by Ciputra,Alam,gratis,"food court, area parkir",Aman,Mudah di akses ,Bebas,Bersih
12,Bukit Flora,Alam,35000,"area parkir, toilet, musholla, warung",cukup aman,mudah di akses,kendaraan pribadi,Cukup Bersih
13,Gunung Bromo,Alam,59000,"area parkir, toilet, warung",aman,mudah di akses,"kendaraan pribadi, motor disarankan",Cukup Bersih
14,Pintu Langit,Alam,10000,"mushola, kamar mandi, lahan parkir yang luas, tempat makan dengan menu variatif, tempat bermain anak, hall, resort, spot foto yang mernarik, wifi",aman,Mudah diakses,Bebas,Cukup Bersih
15,Kebun Raya Purwodadi,Alam,15500/25500,"area parkir, toilet,musholla, warung",aman,mudah di akses,bebas,Bersih
16,Bromo Forest,Alam,10000,"area parkir, musholla, warung, spot foto",aman,mudah di akses,bebas,Cukup Bersih
17,Bhakti Alam,Alam,50000/55000,"area parkir, toilet, musholla, warung",aman,mudah di akses,kendaraan pribadi,Cukup Bersih
18,Red Flower Puspo,Alam,5000,"area parkir, toilet, musholla, warung, spot foto",aman,mudah di akses,bebas,Bersih
19,Taman Safari,Alam,200000,"area parkir, toilet, musholla, warung",aman,mudah di akses,bebas,Kurang Bersih
20,Lembah Diyeng Gempol,Alam,Gratis,"area parkir, tempat istirahat, warung",cukup aman,mudah di akses,kendaraan pribadi ,Bersih
21,Candi Jawi,Sejarah,Gratis,"toilet, area parkir",aman,mudah di akses,bebas,Bersih
22,Kebun kurma,Argo,15000/20000,"area parkir, toilet, musholla, warung",aman,mudah di akses,bebas,Bersih
23,Cimory Dairy Land Pandaan,Edukasi,30000,"area parkir, toilet, musholla, warung",aman,mudah di akses,bebas,Cukup Bersih
24,Kebun Pak Budi,Edukasi,20000/25000,"area parkir, toilet, musholla, warung",aman,mudah di akses,kendaraan pribadi,Cukup Bersih
25,Rawon Sakinah,Kuliner,25000,"toilet, area parkir, musholla",aman,mudah di akses,bebas,Bersih